web-scraper-order,web-scraper-start-url,event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src,event_organizer__Hangar
"1526029785-132","https://hangar.org/es/category/workshops-artist2artists/","Taller  de fotografía “El autorretrato como proceso creativo inconsciente” a cargo de Cristina Nuñez","9 y 10 diciembre 2017 - Hangar","9 y 10 diciembre 2017 - Hangar","9 y 10 diciembre 2017 - Hangar","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-fotografia-el-autorretrato-como-proceso-creativo-inconsciente-a-cargo-de-cristina-nunez/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-fotografia-el-autorretrato-como-proceso-creativo-inconsciente-a-cargo-de-cristina-nunez/","https://hangar.org/webnou/wp-content/uploads/2017/09/2U0A1422-200x150.jpg","null"
"1526029713-123","https://hangar.org/es/category/workshops-artist2artists/","El Laboratorio del No Hacer abre sus puertas al público durante 3 días en la Blueproject Foundation","","","","null","","https://hangar.org/es/workshops-artist2artists/el-laboratorio-del-no-hacer-obre-les-seves-portes-al-public-durant-3-dies-a-la-blueproject-foundation/","null","null","null","https://hangar.org/es/workshops-artist2artists/el-laboratorio-del-no-hacer-obre-les-seves-portes-al-public-durant-3-dies-a-la-blueproject-foundation/","https://hangar.org/webnou/wp-content/uploads/2017/05/4-200x150.jpg","null"
"1526029610-108","https://hangar.org/es/category/programa-hangar/formacio-continua/","INDISCIPLINAS CREATIVAS Saberes Compartidos e Inteligencias Colectivas","11, 12 y 13 junio","11, 12 y 13 junio","11, 12 y 13 junio","null","","https://hangar.org/es/programa-hangar/formacio-continua/indisciplines-creatives-sabers-compartits-i-intelligencies-collectives/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/indisciplines-creatives-sabers-compartits-i-intelligencies-collectives/","https://hangar.org/webnou/wp-content/uploads/2018/03/Imagen_Indisciplinas-Creativas05-200x150.jpg","null"
"1526029659-117","https://hangar.org/es/category/programa-hangar/formacio-continua/","Sistemas interactivos con Visión artificial: Taller de programación C++ openFrameworks","9 - 27 julio 2018","9 - 27 julio 2018","9 - 27 julio 2018","null","","https://hangar.org/es/programa-hangar/formacio-continua/sistemas-interactivos-con-vision-artificial-taller-de-programacion-c-openframeworks/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/sistemas-interactivos-con-vision-artificial-taller-de-programacion-c-openframeworks/","https://hangar.org/webnou/wp-content/uploads/2018/05/interactpromo2-200x150.jpg","null"
"1526029644-115","https://hangar.org/es/category/programa-hangar/formacio-continua/","Elementos clave del ecosistema del arte la práctica profesional del artista","1 y 2 junio","1 y 2 junio","1 y 2 junio","null","","https://hangar.org/es/news/elements-clau-del-sistema-de-lart-la-practica-professional-de-lartista/","null","null","null","https://hangar.org/es/news/elements-clau-del-sistema-de-lart-la-practica-professional-de-lartista/","https://hangar.org/webnou/wp-content/uploads/2018/05/88e0f3bb9126ac5b20e6914bce95094c-200x150.jpg","null"
"1526029699-118","https://hangar.org/es/category/workshops-artist2artists/","Taller de Net art y diseño interactivo para la web","17, 19, 20, 24 y 26 de julio 2017     / de 19h a 21 h","17, 19, 20, 24 y 26 de julio 2017     / de 19h a 21 h","17, 19, 20, 24 y 26 de julio 2017     / de 19h a 21 h","null","","https://hangar.org/es/news/espanol-taller-de-net-art-y-diseno-interactivo-para-la-web-2/","null","null","null","https://hangar.org/es/news/espanol-taller-de-net-art-y-diseno-interactivo-para-la-web-2/","https://hangar.org/webnou/wp-content/uploads/2017/05/netart02-200x150.jpg","null"
"1526029599-105","https://hangar.org/es/category/programa-hangar/formacio-continua/","Videomapping para la instalación y escenografía. Taller de programación con C++ y openFrameworks","","","","null","","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-de-video-mapping-aplicado-a-la-instalacion-y-la-escenografia/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-de-video-mapping-aplicado-a-la-instalacion-y-la-escenografia/","https://hangar.org/webnou/wp-content/uploads/2018/03/mapping3-200x150.jpg","null"
"1526029559-96","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller de impresión 3D a cargo de Patricio Rivera","14 abril 2018","14 abril 2018","14 abril 2018","null","","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-de-impresion-3d-a-cargo-de-patricio-rivera/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-de-impresion-3d-a-cargo-de-patricio-rivera/","https://hangar.org/webnou/wp-content/uploads/2017/07/18ppd6d7pkzzzjpg-200x150.jpg","null"
"1526029651-116","https://hangar.org/es/category/programa-hangar/formacio-continua/","El poder del archivo y de la remezcla audiovisual","25 y 26 junio","25 y 26 junio","25 y 26 junio","null","","https://hangar.org/es/news/el-poder-de-larxiu-i-de-la-remescla-audiovisual/","null","null","null","https://hangar.org/es/news/el-poder-de-larxiu-i-de-la-remescla-audiovisual/","https://hangar.org/webnou/wp-content/uploads/2018/05/1454758526_173385_1454758642_noticia_normal-200x150.jpg","null"
"1526029771-130","https://hangar.org/es/category/workshops-artist2artists/","“Teatro de Guerrilla” a cargo de Sacchi-De Santo","13 al 17 noviembre 2017 / de 19h a 22h","13 al 17 noviembre 2017 / de 19h a 22h","13 al 17 noviembre 2017 / de 19h a 22h","null","","https://hangar.org/es/workshops-artist2artists/taller-teatro-de-guerrilla-a-carrec-de-sacchi-de-santo/","null","null","null","https://hangar.org/es/workshops-artist2artists/taller-teatro-de-guerrilla-a-carrec-de-sacchi-de-santo/","https://hangar.org/webnou/wp-content/uploads/2017/07/tallerteatrodeguerrilla-200x150.jpg","null"
"1526029706-120","https://hangar.org/es/category/workshops-artist2artists/","Taller “Cine MacGyver: cámaras DIY” a cargo de Daniel Jacoby y Yu Araki","6 julio","6 julio","6 julio","null","","https://hangar.org/es/news/workshop-macgyver-filmmaking-diy-camera-apparatuses/","null","null","null","https://hangar.org/es/news/workshop-macgyver-filmmaking-diy-camera-apparatuses/","https://hangar.org/webnou/wp-content/uploads/2017/05/360-Camera-1-1-200x150.jpg","null"
"1526029778-131","https://hangar.org/es/category/workshops-artist2artists/","Redes alternativas DIY. Mercenarios de datos y Autohosting en la Raspberry Pi","30 - 31 octubre 2017 - Hangar","30 - 31 octubre 2017 - Hangar","30 - 31 octubre 2017 - Hangar","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-redes-alternativas-diy-mercenarios-de-datos-y-autohosting-en-la-raspberry-pi/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-redes-alternativas-diy-mercenarios-de-datos-y-autohosting-en-la-raspberry-pi/","https://hangar.org/webnou/wp-content/uploads/2017/07/img_taller_1-200x150.jpg","null"
"1526029742-126","https://hangar.org/es/category/workshops-artist2artists/","Taller de dibujo “Dibujante en alta mar” a cargo de Pauline Fondevila","7- 8 octubre 2017 - Hangar","7- 8 octubre 2017 - Hangar","7- 8 octubre 2017 - Hangar","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-dibujo-dibujante-en-alta-mar-a-cargo-de-pauline-fondevila/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-dibujo-dibujante-en-alta-mar-a-cargo-de-pauline-fondevila/","https://hangar.org/webnou/wp-content/uploads/2017/07/Autoretrato-con-cigarrillo-200x150.jpg","null"
"1526029750-127","https://hangar.org/es/category/workshops-artist2artists/","Taller “El arte del código: Fundamentos de estética digital y programación en C++ con openFrameworks”","12, 14, 19, 21, 26, 28 septiembre 2017 / 18:30-21:30","12, 14, 19, 21, 26, 28 septiembre 2017 / 18:30-21:30","12, 14, 19, 21, 26, 28 septiembre 2017 / 18:30-21:30","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-el-arte-del-codigo-fundamentos-de-estetica-digital-y-programacion-en-c-con-openframeworks/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-el-arte-del-codigo-fundamentos-de-estetica-digital-y-programacion-en-c-con-openframeworks/","https://hangar.org/webnou/wp-content/uploads/2017/07/ccomputing76-200x150.jpg","null"
"1526029632-114","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller: Iluminación y sonido para audiovisuales","19 y 20 mayo 2018","19 y 20 mayo 2018","19 y 20 mayo 2018","null","","https://hangar.org/es/programa-hangar/formacio-continua/taller-il-luminacio-i-so-per-a-audiovisuals/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/taller-il-luminacio-i-so-per-a-audiovisuals/","https://hangar.org/webnou/wp-content/uploads/2018/04/imagen_taller_ilu_sonido-200x150.jpeg","null"
"1526029624-112","https://hangar.org/es/category/programa-hangar/formacio-continua/","¡Nuevos talleres! 2018","","","","null","","https://hangar.org/es/news/programa-de-formacio-setembre-desembre-2017/","null","null","null","https://hangar.org/es/news/programa-de-formacio-setembre-desembre-2017/","https://hangar.org/webnou/wp-content/uploads/2018/03/PF-200x150.jpg","null"
"1526029727-124","https://hangar.org/es/category/workshops-artist2artists/","Taller “ARTISTA/FOTÓGRAFO: la creación de la obra y el mercado del Arte” a cargo de  Francesco Pergolesi","1, 2 y 3 diciembre 2017","1, 2 y 3 diciembre 2017","1, 2 y 3 diciembre 2017","null","","https://hangar.org/es/news/espanol-taller-artistafotografo-la-creacion-de-la-obra-y-el-mercado-del-arte-a-cargo-de-francesco-pergolesi/","null","null","null","https://hangar.org/es/news/espanol-taller-artistafotografo-la-creacion-de-la-obra-y-el-mercado-del-arte-a-cargo-de-francesco-pergolesi/","https://hangar.org/webnou/wp-content/uploads/2017/09/instal-200x150.jpg","null"
